{id=43-0276, gpa=2.84, dob=Fri Mar 06 00:00:00 EET 1998, first_name=yEpejp, last_name=IuxEqe}
{id=43-2216, gpa=3.35, dob=Mon Oct 01 00:00:00 EEST 1990, first_name=WeZFJr, last_name=vdZGxZ}
{id=43-2300, gpa=1.27, dob=Sat Mar 22 00:00:00 EET 1997, first_name=vHViqT, last_name=ONQxXh}
{id=43-3542, gpa=4.34, dob=Mon Jan 13 00:00:00 EET 1997, first_name=opWXmZ, last_name=UZiknJ}
{id=43-4183, gpa=1.12, dob=Wed Oct 21 00:00:00 EET 1992, first_name=gjxsyw, last_name=LpEabF}
{id=43-5233, gpa=3.0, dob=Mon Jul 01 00:00:00 EEST 1991, first_name=eRYmVF, last_name=QnlFvq}
{id=43-5581, gpa=3.21, dob=Sat Dec 28 00:00:00 EET 1991, first_name=szgarS, last_name=uoNrrj}
{id=43-6416, gpa=1.12, dob=Sat Dec 08 00:00:00 EET 1990, first_name=XMNSvM, last_name=SthmMq}
{id=43-6778, gpa=3.5, dob=Tue Aug 20 00:00:00 EEST 1991, first_name=EpTjWp, last_name=IhDgJj}
{id=43-7216, gpa=4.82, dob=Wed Dec 25 00:00:00 EET 1996, first_name=yEydPN, last_name=PKJNBS}
{id=43-8383, gpa=2.5, dob=Tue Aug 26 00:00:00 EEST 1997, first_name=RMDsaP, last_name=StiEYy}
{id=43-9510, gpa=1.47, dob=Thu Mar 13 00:00:00 EET 1997, first_name=EuGzmc, last_name=EAvfNa}
{id=44-0169, gpa=3.2, dob=Wed Jan 17 00:00:00 EET 1996, first_name=gkxLfW, last_name=XvWiYF}
{id=44-0704, gpa=1.69, dob=Sat Apr 22 00:00:00 EET 1995, first_name=WutyhM, last_name=taUHWb}
{id=44-1562, gpa=3.53, dob=Tue Sep 02 00:00:00 EEST 1997, first_name=DTZJLJ, last_name=TmMBsT}
{id=44-2789, gpa=1.48, dob=Wed Oct 24 00:00:00 EET 1990, first_name=RohsEC, last_name=VneuJr}
{id=44-3890, gpa=0.93, dob=Sun Apr 19 00:00:00 EET 1992, first_name=bRsfCx, last_name=YSmoWI}
{id=44-4402, gpa=2.73, dob=Thu Mar 24 00:00:00 EET 1994, first_name=MNDQOK, last_name=ajHuYZ}
{id=44-4720, gpa=3.28, dob=Mon May 01 00:00:00 EEST 1995, first_name=VSpvET, last_name=UPZeiE}
